product_name_langs,product_name_texts,additives_n,complete,completeness,created_t,ingredients_from_palm_oil_n,ingredients_n,ingredients_percent_analysis,ingredients_with_specified_percent_n,ingredients_with_unspecified_percent_n,ingredients_without_ciqual_codes_n,known_ingredients_n,last_modified_t,last_updated_t,nova_group,popularity_key,rev,unknown_ingredients_n,schema_version,prediction
main | en,Pineapple jam | Pineapple jam,2.0,0.0,0.5,1.489064437E9,0.0,5.0,1.0,0.0,5.0,4.0,8.0,1.587579332E9,1.734807038E9,4.0,0.0,2.0,0.0,999.0,1
main | en,Organic Apple Sauce | Organic Apple Sauce,0.0,0.0,0.6000000238418579,1.489064875E9,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.740275196E9,1.740275196E9,1.0,0.0,3.0,0.0,999.0,1
main | en,Brownies bat | Brownies bat,7.0,0.0,0.6875,1.38021602E9,0.0,35.0,1.0,0.0,29.0,18.0,62.0,1.587660229E9,1.734781605E9,4.0,0.0,15.0,3.0,999.0,0
main | en,Nature's seasons seasoning blend | Nature's seasons seasoning blend,1.0,0.0,0.5625,1.48906437E9,0.0,9.0,1.0,0.0,9.0,4.0,22.0,1.743048672E9,1.771275523E9,4.0,2.0,12.0,0.0,1002.0,1
main | en,Mushroom Soya Sauce | Mushroom Soya Sauce,5.0,0.0,0.675000011920929,1.489141419E9,0.0,11.0,1.0,0.0,11.0,5.0,16.0,1.740276496E9,1.740276496E9,4.0,0.0,7.0,0.0,999.0,1
main | en,Cocktail smoked sausage | Cocktail smoked sausage,10.0,0.0,0.5,1.489094132E9,0.0,29.0,1.0,0.0,27.0,20.0,40.0,1.587593473E9,1.734797958E9,4.0,0.0,3.0,2.0,999.0,0
main | en,Healthy Pop minis | Healthy Pop minis,1.0,0.0,0.675000011920929,1.489068438E9,0.0,8.0,1.0,1.0,7.0,4.0,5.0,1.773809297E9,1.773809297E9,4.0,7.0,19.0,3.0,1003.0,1
main | en,Salsa Verde | Salsa Verde,5.0,0.0,0.5625,1.484514995E9,0.0,31.0,1.0,0.0,28.0,13.0,29.0,1.774654334E9,1.774654334E9,4.0,0.0,8.0,2.0,1003.0,0
main | en,Organic Unsalted Butter | Organic Unsalted Butter,0.0,0.0,0.5,1.489078167E9,0.0,2.0,1.0,0.0,2.0,2.0,2.0,1.649784109E9,1.734733975E9,4.0,0.0,4.0,1.0,999.0,1
main | en,Roasted Party Peanuts With Sea Salt | Roasted Party Peanuts With Sea Salt,0.0,0.0,0.6000000238418579,1.489074505E9,0.0,7.0,1.0,0.0,6.0,2.0,17.0,1.740278111E9,1.740278111E9,3.0,0.0,3.0,0.0,999.0,1
